limite inferior,limite superior
0.13806703137499995,0.4463751503750001
0.11463046324999998,0.38812729325
0.11178632162500002,0.337654764625
0.07773745537499996,0.4113331063750001
0.04510436037500004,0.37067386937499996
0.099359027875,0.304452964875
0.14523423349999998,0.2465308275
0.041015113000000034,0.26113642699999995
0.029043097000000004,0.225851561
-0.0016565764999999857,0.1494638595
0.08214345049999999,0.18642357450000002
0.11015261174999998,0.20852044175
0.04133806312499996,0.20502598812500003
0.04412665862499999,0.158827677625
0.06428354462500002,0.20750971962499998
0.06110977600000002,0.13880401399999998
0.023267928000000014,0.15245836
0.021822992250000013,0.18012838825
0.044147761499999966,0.26986634350000005
-0.0053175759999999905,0.179034448
